GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab3-springboot,com.example.copilot.verification,BugVerificationScript,213,0,4,0,60,0,7,0,5,0
lab3-springboot,com.example.copilot,CopilotApplication,5,3,0,0,2,1,1,1,1,1
lab3-springboot,com.example.copilot.service.impl,AuthServiceImpl,53,86,6,4,9,19,5,4,1,3
lab3-springboot,com.example.copilot.service.impl,ReviewServiceImpl,69,225,4,6,12,51,6,13,4,10
lab3-springboot,com.example.copilot.service.impl,ProductServiceImpl,39,173,3,7,6,36,6,10,3,8
lab3-springboot,com.example.copilot.service.impl,DashboardServiceImpl,0,51,0,2,0,9,0,3,0,2
lab3-springboot,com.example.copilot.service.impl,UserServiceImpl,8,132,4,4,1,29,4,8,0,8
lab3-springboot,com.example.copilot.service.impl,OrderServiceImpl,152,409,30,34,35,93,28,30,2,24
lab3-springboot,com.example.copilot.service.impl,CategoryServiceImpl,6,121,2,6,0,26,2,10,0,8
lab3-springboot,com.example.copilot.service.impl,OrderVerificationServiceImpl,13,3,0,0,2,1,2,1,2,1
lab3-springboot,com.example.copilot.core.enums,UserRole,0,15,0,0,0,2,0,1,0,1
lab3-springboot,com.example.copilot.core.enums,OrderStatus,0,27,0,0,0,2,0,1,0,1
lab3-springboot,com.example.copilot.config,OpenApiConfig,0,53,0,0,0,15,0,3,0,3
lab3-springboot,com.example.copilot.config,SecurityConfig,0,352,0,0,0,34,0,8,0,8
lab3-springboot,com.example.copilot.core.dto,CreateOrderRequestDTO.OrderItemRequest,0,17,0,0,0,5,0,5,0,5
lab3-springboot,com.example.copilot.core.dto,DashboardStatsDTO,23,21,0,0,8,8,5,4,5,4
lab3-springboot,com.example.copilot.core.dto,AuthResponseDTO,21,34,0,0,10,13,4,7,4,7
lab3-springboot,com.example.copilot.core.dto,LoginRequestDTO,26,0,0,0,11,0,6,0,6,0
lab3-springboot,com.example.copilot.core.dto,ReviewDTO,24,57,0,0,9,16,4,16,4,16
lab3-springboot,com.example.copilot.core.dto,CartItem,26,0,0,0,11,0,6,0,6,0
lab3-springboot,com.example.copilot.core.dto,RegisterRequestDTO,15,31,0,0,6,13,1,9,1,9
lab3-springboot,com.example.copilot.core.dto,CreateOrderRequestDTO,0,17,0,0,0,5,0,5,0,5
lab3-springboot,com.example.copilot.core.dto,CategoryDTO,0,31,0,0,0,13,0,9,0,9
lab3-springboot,com.example.copilot.core.dto,OrderItemDTO,0,31,0,0,0,13,0,9,0,9
lab3-springboot,com.example.copilot.core.dto,UserDTO,0,38,0,0,0,16,0,11,0,11
lab3-springboot,com.example.copilot.core.dto,OrderDTO,0,38,0,0,0,16,0,11,0,11
lab3-springboot,com.example.copilot.core.dto,ProductDTO,0,45,0,0,0,19,0,13,0,13
lab3-springboot,com.example.copilot.api.controller,UserController,10,40,1,1,0,7,2,7,1,7
lab3-springboot,com.example.copilot.api.controller,AuthController,21,24,0,0,6,7,1,2,1,2
lab3-springboot,com.example.copilot.api.controller,DashboardController,0,10,0,0,0,3,0,2,0,2
lab3-springboot,com.example.copilot.api.controller,ReviewController,51,3,0,0,12,1,5,1,5,1
lab3-springboot,com.example.copilot.api.controller,ProductController,5,50,0,2,0,7,1,8,1,7
lab3-springboot,com.example.copilot.api.controller,CategoryController,13,37,0,2,0,7,2,7,2,6
lab3-springboot,com.example.copilot.api.controller,OrderController,0,41,0,2,0,7,0,8,0,7
lab3-springboot,com.example.copilot.exception,InsufficientStockException,0,4,0,0,0,2,0,1,0,1
lab3-springboot,com.example.copilot.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
lab3-springboot,com.example.copilot.exception,UserNotPurchasedProductException,5,4,0,0,2,2,1,1,1,1
lab3-springboot,com.example.copilot.exception,GlobalExceptionHandler,201,72,4,0,36,13,7,3,5,3
lab3-springboot,com.example.copilot.exception,DuplicateReviewException,5,4,0,0,2,2,1,1,1,1
lab3-springboot,com.example.copilot.core.entity,OrderItem,7,31,0,0,2,9,2,9,2,9
lab3-springboot,com.example.copilot.core.entity,Review,26,52,0,0,11,15,3,15,3,15
lab3-springboot,com.example.copilot.core.entity,Category,8,23,0,0,4,9,2,7,2,7
lab3-springboot,com.example.copilot.core.entity,User,3,42,0,0,1,12,1,12,1,12
lab3-springboot,com.example.copilot.core.entity,Product,17,57,0,0,7,25,5,14,5,14
lab3-springboot,com.example.copilot.core.entity,Order,4,34,0,0,1,10,1,10,1,10
